@W: CD643 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":14:34:14:34|Ignoring use clause - usb_req_gen_func_pack not found ...
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 6 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 7 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 8 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 9 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 10 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 11 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 12 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 13 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 14 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 15 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 16 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 17 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 18 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 19 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 20 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 21 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 22 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 23 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 24 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 25 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 26 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 27 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 28 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 29 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 30 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 31 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 32 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 33 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 34 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 35 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 36 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 37 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 38 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 39 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 40 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 41 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 42 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 43 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 44 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 45 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 46 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 47 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 48 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 49 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 50 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 51 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 52 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 53 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 54 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 55 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 56 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 57 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 58 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 59 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 60 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 61 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 62 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL252 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":83:9:83:20|Bit 63 of signal S_hid_report is floating -- simulation mismatch possible.
@W: CL240 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":37:2:37:9|wifi_rxd is not assigned a value (floating) -- simulation mismatch possible. 
@W: CL240 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":28:2:28:9|ftdi_rxd is not assigned a value (floating) -- simulation mismatch possible. 
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 0 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 1 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 2 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 3 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 4 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 5 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 6 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 7 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 8 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 9 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 10 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 11 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 12 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 13 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 14 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 15 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 16 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 17 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 18 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 19 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 20 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 21 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 22 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 23 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 24 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 25 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 26 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 27 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 28 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 29 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 30 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 31 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 32 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 33 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 34 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 35 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CL245 :"/home/guest/src/fpga/usb-serial/usb-serial-demo/proj/lattice/ulx3s/ulx3s_v20_85f_serial/top/ulx3s_usbserial.vhd":109:20:109:28|Bit 36 of input data of instance oled_inst is undriven. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
